"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/03/2019","AQS","060650003","1","27","ug/m3 SC","25","Norco","1","100.0000","81102","PM10 Total 0-10um STP","063","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"01/09/2019","AQS","060650003","1","30","ug/m3 SC","28","Norco","1","100.0000","81102","PM10 Total 0-10um STP","063","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"01/15/2019","AQS","060650003","1","9","ug/m3 SC","8","Norco","1","100.0000","81102","PM10 Total 0-10um STP","063","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"01/21/2019","AQS","060650003","1","10","ug/m3 SC","9","Norco","1","100.0000","81102","PM10 Total 0-10um STP","063","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"02/26/2019","AQS","060650003","1","27","ug/m3 SC","25","Norco","1","100.0000","81102","PM10 Total 0-10um STP","063","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"03/04/2019","AQS","060650003","1","7","ug/m3 SC","6","Norco","1","100.0000","81102","PM10 Total 0-10um STP","063","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"03/10/2019","AQS","060650003","1","7","ug/m3 SC","6","Norco","1","100.0000","81102","PM10 Total 0-10um STP","063","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"03/16/2019","AQS","060650003","1","16","ug/m3 SC","15","Norco","1","100.0000","81102","PM10 Total 0-10um STP","063","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"03/22/2019","AQS","060650003","1","13","ug/m3 SC","12","Norco","1","100.0000","81102","PM10 Total 0-10um STP","063","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"03/28/2019","AQS","060650003","1","16","ug/m3 SC","15","Norco","1","100.0000","81102","PM10 Total 0-10um STP","063","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"04/03/2019","AQS","060650003","1","7","ug/m3 SC","6","Norco","1","100.0000","81102","PM10 Total 0-10um STP","063","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
"04/09/2019","AQS","060650003","1","34","ug/m3 SC","31","Norco","1","100.0000","81102","PM10 Total 0-10um STP","063","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9214500008741","-117.57244"
