"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"10/07/2024","AirNow","060650009","1","5.9","ug/m3 LC","33","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/08/2024","AirNow","060650009","1","5.7","ug/m3 LC","32","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/09/2024","AirNow","060650009","1","5.1","ug/m3 LC","28","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/10/2024","AirNow","060650009","1","5.1","ug/m3 LC","28","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/11/2024","AirNow","060650009","1","5.1","ug/m3 LC","28","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/12/2024","AirNow","060650009","1","4.5","ug/m3 LC","25","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/13/2024","AirNow","060650009","1","3.8","ug/m3 LC","21","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/14/2024","AirNow","060650009","1","4.4","ug/m3 LC","24","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/15/2024","AirNow","060650009","1","4.8","ug/m3 LC","27","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/16/2024","AirNow","060650009","1","7.2","ug/m3 LC","40","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/17/2024","AirNow","060650009","1","5.1","ug/m3 LC","28","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/19/2024","AirNow","060650009","1","4.3","ug/m3 LC","24","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/20/2024","AirNow","060650009","1","4.5","ug/m3 LC","25","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/21/2024","AirNow","060650009","1","5.2","ug/m3 LC","29","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/22/2024","AirNow","060650009","1","6.2","ug/m3 LC","34","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/23/2024","AirNow","060650009","1","6.6","ug/m3 LC","37","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/24/2024","AirNow","060650009","1","5.7","ug/m3 LC","32","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/25/2024","AirNow","060650009","1","6.6","ug/m3 LC","37","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/26/2024","AirNow","060650009","1","8.1","ug/m3 LC","45","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/27/2024","AirNow","060650009","1","6.5","ug/m3 LC","36","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/28/2024","AirNow","060650009","1","5.2","ug/m3 LC","29","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/29/2024","AirNow","060650009","1","5.5","ug/m3 LC","31","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/30/2024","AirNow","060650009","1","4","ug/m3 LC","22","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"10/31/2024","AirNow","060650009","1","4.7","ug/m3 LC","26","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/01/2024","AirNow","060650009","1","4.5","ug/m3 LC","25","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/02/2024","AirNow","060650009","1","4.4","ug/m3 LC","24","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/03/2024","AirNow","060650009","1","5.4","ug/m3 LC","30","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/04/2024","AirNow","060650009","1","4.2","ug/m3 LC","23","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/05/2024","AirNow","060650009","1","2.6","ug/m3 LC","14","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/06/2024","AirNow","060650009","1","4.2","ug/m3 LC","23","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/07/2024","AirNow","060650009","1","1.2","ug/m3 LC","7","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/08/2024","AirNow","060650009","1","6.2","ug/m3 LC","34","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/13/2024","AirNow","060650009","1","4","ug/m3 LC","22","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/14/2024","AirNow","060650009","1","5.4","ug/m3 LC","30","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/15/2024","AirNow","060650009","1","4.6","ug/m3 LC","26","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/16/2024","AirNow","060650009","1","4.9","ug/m3 LC","27","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/17/2024","AirNow","060650009","1","4.6","ug/m3 LC","26","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/18/2024","AirNow","060650009","1","4.2","ug/m3 LC","23","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/19/2024","AirNow","060650009","1","4.8","ug/m3 LC","27","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/20/2024","AirNow","060650009","1","4.2","ug/m3 LC","23","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/21/2024","AirNow","060650009","1","4.7","ug/m3 LC","26","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/22/2024","AirNow","060650009","1","6","ug/m3 LC","33","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/23/2024","AirNow","060650009","1","5.8","ug/m3 LC","32","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/24/2024","AirNow","060650009","1","2.7","ug/m3 LC","15","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/25/2024","AirNow","060650009","1","3.6","ug/m3 LC","20","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/26/2024","AirNow","060650009","1","2.7","ug/m3 LC","15","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/27/2024","AirNow","060650009","1","3.8","ug/m3 LC","21","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/28/2024","AirNow","060650009","1","4.5","ug/m3 LC","25","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/29/2024","AirNow","060650009","1","5.6","ug/m3 LC","31","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"11/30/2024","AirNow","060650009","1","3.2","ug/m3 LC","18","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"12/01/2024","AirNow","060650009","1","3.7","ug/m3 LC","21","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"12/02/2024","AirNow","060650009","1","4.9","ug/m3 LC","27","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
